country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
SWE,1991,4492.6,2.462511836,234.1899215,5650.757537,55401.036,6.428973472,266.4422925,12.19867942,7.117119301,2.57903E+11,27630,6.4,0.680005372,8617400,0.848335381,7173123.76
SYR,1991,922.3,0.415965901,284.5077682,898.5022517,43193.593,3.403701349,1077.770782,30.89127241,0.25337024,12981833333,1000,35.8,2.970330691,12690183,3.416667982,6235955.926
TGO,1991,762.7,0.404408588,387.724775,345.2290041,843.41,0.22504436,252.7460694,17.35868188,11.25653629,1602293605,410,144.3,2.218845291,3747750,4.257718943,1151308.8
THA,1991,2295.3,2.050177479,186.8766922,789.1219429,116148.558,2.012571494,476.6091057,10.27742832,15.20670352,98234713407,1650,28.9,1.114214476,57711519,1.72459277,17071067.32
TUR,1991,2239.4,0.536277348,118.1224564,945.8873869,151799.132,2.756532038,344.2358359,24.66732572,1.741934681,1.51041E+11,2580,76.8,1.719125348,55068880,2.694086844,32920176.46
TZA,1991,1233.8,0.000201751,457.4856121,377.2080531,2434.888,0.0924705,112.150107,5.239330929,26.5127625,4956597378,180,154.6,3.291259962,26331511,4.970208109,5060916.414
UMC,1991,3189.026612,1.156897999,324.8308869,1353.444864,7456999.429,3.611969683,868.0807583,15.88950201,9.623790205,2.75844E+12,1295.359684,47.63495039,1.394013598,2064524369,2.835796097,921337853.9
URY,1991,2421.3,0.288590417,103.8595352,779.6425583,4554.414,1.454554571,193.7674644,49.6200106,0.250873335,11206193313,3180,22.4,0.705678427,3131140,1.042190242,2796108.02
USA,1991,4510.2,0.390847623,242.889302,7631.521363,4870238.042,19.25139849,612.7164584,41.65189915,14.78219058,5.9307E+12,23460,10.9,1.336260656,252981000,1.866063304,191506617
VEN,1991,2621,3.703534533,218.924027,2249.003218,115440.827,5.715741298,556.3856432,33.41096698,50.49288682,51734363024,2590,32.3,2.238058718,20197000,2.829426497,17127056
VNM,1991,3006.3,3.902796786,390.4951352,367.5822249,21451.95,0.319024157,338.9102438,9.155956658,4.490206717,9613369554,110,49.7,1.839626062,67242400,3.694242421,13905728.32
WLD,1991,2873.125995,0.753775422,236.5878148,1659.261646,22867024,4.267747395,628.9403727,16.93538102,9.338471759,2.29723E+13,4204.243963,88.69249726,1.626378768,5358101566,2.482192769,2312121585
ZAF,1991,1988.7,0.211381101,352.1957296,2723.338394,346337.149,9.638385616,1246.48419,28.09122736,6.632749676,1.20225E+11,3320,58.3,2.061300974,35933107.76,3.018246076,18864881.58
ZAR,1991,802.3,0.136334148,572.4205815,318.105335,3755.008,0.09919133,178.4916891,13.31892108,9.963284293,9087965282,210,181.4,3.905528398,37856212,4.336254117,10569454.39
ZMB,1991,1639.4,1.015757086,567.247765,689.7501627,2416.553,0.299524217,246.3275141,9.721179003,35.98042413,3376791604,400,184.1,2.610880016,8067972,1.43649838,3141668.297
AGO,1992,397,4.982459847,193.6321827,550.5482641,4418.735,0.401596941,141.2448233,15.66062978,12.39982269,5779394292,470,235.3,3.226989862,11002910,6.75045876,4385759.926
ARE,1992,2315.3,0.366309323,227.818578,11058.79018,58136.618,28.86488373,594.6361819,26.6568856,0.266889499,35412694053,19430,19.4,5.31651551,2014095,5.139053174,1587509.679
ARG,1992,3057.3,1.936790575,162.6941284,1489.450708,121447.373,3.620968686,395.52188,39.04213483,5.060855282,2.28779E+11,6300,24.9,1.340016649,33540023,1.728544164,29407892.17
ARM,1992,1842.8,0.188593619,769.7449839,1193.328869,3681.668,1.067168704,688.3666172,33.66988991,6.930717827,1272577522,310,50.5,-1.784335772,3449940,-2.141798172,2312149.788
AUS,1992,1896.5,1.732302813,211.3143094,4957.338611,294456.433,16.83089071,717.4430326,60.30512718,7.939773699,3.28992E+11,18890,8.2,1.218627409,17495000,1.376923109,14989716
AUT,1992,5160,0.747003482,121.614503,3256.045376,60531.169,7.777837613,290.505121,19.80086396,21.0148731,1.93097E+11,24140,8.4,-0.210250505,7782519,-0.210250518,5120897.502
BGD,1992,2625.6,0.01173758,155.2457495,120.2354391,17748.28,0.161017833,207.9032136,9.630124339,1.537948044,31708863730,320,132.1,2.25410479,110225555,4.119647356,22662374.11
BGR,1992,2953.7,0.400119535,369.5974659,2413.884426,53600.539,6.276409719,961.0009088,13.93249415,3.105018148,10371900499,1430,22.5,-1.071521948,8540000,-0.652485186,5718384
BLR,1992,2741.4,0.041122817,622.359024,3620.727682,87487.286,8.563751566,1472.004673,15.89491973,6.707586646,17022180272,1670,17,0.215580668,10216000,0.786409931,6820201.6
BOL,1992,1399.7,1.649578933,130.1476481,408.71671,6648.271,0.953270842,303.5500018,26.1351605,8.953522147,5643864513,790,112.9,2.32580801,6974168,3.665271111,3983644.762
BRA,1992,2142.4,0.527694958,133.0892017,934.0138489,220705.729,1.427757319,203.4435379,35.34750915,11.34928964,3.90567E+11,2780,54.7,1.587895013,154582103,2.38050154,117482398.3
CAN,1992,2460.6,0.824250763,288.4857176,7480.025343,467648.843,16.39745601,632.4085341,40.06873189,6.18818525,5.79532E+11,20790,7.7,1.227418982,28519597.36,1.513393439,21971497.8
CHE,1992,6028.1,0.449628577,111.4867725,3606.431273,43325.605,6.301906182,194.8128572,14.99498182,17.84270605,2.50982E+11,37960,7.4,1.096903068,6875000,1.206013895,5043500
CHL,1992,4177.4,2.10511183,142.8552323,1099.412774,34117.768,2.494285541,324.1018741,34.99633326,15.97059811,44467946384,3020,16.4,1.837596835,13678373,2.100660481,11454269.55
CHN,1992,4366.6,2.639468075,568.4885458,760.3535756,2695982.067,2.31420729,1730.24811,9.630578126,13.66440587,4.22661E+11,390,46.5,1.225536228,1164970000,4.022921433,337841300
CIV,1992,858.5,-2.069706787,201.2706818,358.9709425,4624.087,0.345550475,193.7459873,16.93044411,22.59245287,11153005025,750,154.2,3.311790926,13381799,4.15735677,5403570.436
CMR,1992,1072.3,0.256256385,215.0491353,394.5495543,3795.345,0.294612322,160.5783717,14.29145075,7.143523493,11396311478,870,139.3,2.77521597,12882506,4.961614851,5480218.052
COG,1992,653,0.093379348,92.21140657,326.5242068,1573.143,0.624214545,176.280043,29.82958468,5.439910748,2933231579,1050,113.8,2.664259518,2520196,3.428872746,1389636.074
COL,1992,2549.9,1.478705624,117.7873777,742.4900178,62049.307,1.798670413,285.3380734,31.46601045,20.35058175,49279585355,1320,34.3,1.894346824,34497319,2.532400032,23865245.28
CRI,1992,3169,2.635995566,122.3431521,813.6036757,3791.678,1.17576916,176.8026737,24.40272397,19.84217934,8573610781,2610,16.2,2.429320854,3224849,4.382283556,1700785.363
DEU,1992,5335.6,-0.102668569,154.3623597,4194.986381,928326.719,11.51427266,423.68917,7.910034233,32.50291986,2.06214E+12,25050,7.6,0.75947521,80624000,0.814149944,59000643.2
DNK,1992,4314.2,0.677374098,136.334843,3563.029981,54528.29,10.54705803,403.5698571,20.03883946,4.84301875,1.50195E+11,28450,7.8,0.309957609,5170000,0.35709409,4388296
DOM,1992,4108.3,1.593410776,158.5576791,651.7046887,11206.352,1.497050812,364.2277037,21.05427754,22.13277981,11277694537,1320,56.9,1.966857656,7485619,2.895767515,4209912.126
DZA,1992,943.2,0.062495707,152.6523004,908.4582861,82261.811,3.097443596,520.4772718,7.136648891,6.306375421,48003297249,1930,62.9,2.390765739,26557969,3.855030684,14251006.17
